state,omega,pop,season,cadence,location_level,disease
ak,9.93275408134674,731545,2022-2024,Daily,state,Influenza
al,15.757836167387374,4903185,2022-2024,Daily,state,Influenza
ar,15.05440035729617,3017804,2022-2024,Daily,state,Influenza
az,27.46329650896512,7278717,2022-2024,Daily,state,Influenza
ca,28.913867855336573,39512223,2022-2024,Daily,state,Influenza
co,12.077445327994663,5758736,2022-2024,Daily,state,Influenza
ct,14.444852415187981,3565287,2022-2024,Daily,state,Influenza
dc,10.978415239802807,705749,2022-2024,Daily,state,Influenza
de,13.273912613629069,973764,2022-2024,Daily,state,Influenza
fl,18.95941178535161,21477737,2022-2024,Daily,state,Influenza
ga,16.408917654454225,10617423,2022-2024,Daily,state,Influenza
hi,10.06381976283559,1415872,2022-2024,Daily,state,Influenza
ia,15.37800013110292,3155070,2022-2024,Daily,state,Influenza
id,14.918371853846402,1787065,2022-2024,Daily,state,Influenza
il,22.16496699702558,12671821,2022-2024,Daily,state,Influenza
in,21.32782892776538,6732219,2022-2024,Daily,state,Influenza
ks,16.370108280243333,2913314,2022-2024,Daily,state,Influenza
ky,20.80183207450276,4467673,2022-2024,Daily,state,Influenza
la,13.84578770668461,4648794,2022-2024,Daily,state,Influenza
ma,22.55516528146768,6892503,2022-2024,Daily,state,Influenza
md,18.344685789824812,6045680,2022-2024,Daily,state,Influenza
me,15.81700005751241,1344212,2022-2024,Daily,state,Influenza
mi,22.073871416381095,9986857,2022-2024,Daily,state,Influenza
mn,17.18768786974958,5639632,2022-2024,Daily,state,Influenza
mo,21.798917898730497,6137428,2022-2024,Daily,state,Influenza
ms,13.73125508810935,2976149,2022-2024,Daily,state,Influenza
mt,11.36138951920147,1068778,2022-2024,Daily,state,Influenza
nc,21.395126442184818,10488084,2022-2024,Daily,state,Influenza
nd,10.000828949623608,762062,2022-2024,Daily,state,Influenza
ne,11.409827620891821,1934408,2022-2024,Daily,state,Influenza
nh,13.1284049398111,1359711,2022-2024,Daily,state,Influenza
nj,23.055989486863528,8882190,2022-2024,Daily,state,Influenza
nm,16.36314668782275,2096829,2022-2024,Daily,state,Influenza
nv,16.984584970245365,3080156,2022-2024,Daily,state,Influenza
ny,25.398239470788162,19453561,2022-2024,Daily,state,Influenza
oh,21.908742509508293,11689100,2022-2024,Daily,state,Influenza
ok,25.325514459100617,3956971,2022-2024,Daily,state,Influenza
or,23.871297974574613,4217737,2022-2024,Daily,state,Influenza
pa,20.634542524412012,12801989,2022-2024,Daily,state,Influenza
ri,9.724077106139784,1059361,2022-2024,Daily,state,Influenza
sc,19.017814611388385,5148714,2022-2024,Daily,state,Influenza
sd,12.153898513650718,884659,2022-2024,Daily,state,Influenza
tn,18.26257630872352,6829174,2022-2024,Daily,state,Influenza
tx,26.43367496502823,28995881,2022-2024,Daily,state,Influenza
us,33.768532514060965,328239523,2022-2024,Daily,state,Influenza
ut,12.223968842572353,3205958,2022-2024,Daily,state,Influenza
va,19.22006403649038,8535519,2022-2024,Daily,state,Influenza
vt,10.579565334941298,623989,2022-2024,Daily,state,Influenza
wa,20.580621773077745,7614893,2022-2024,Daily,state,Influenza
wi,17.41764252268011,5822434,2022-2024,Daily,state,Influenza
wv,15.318822816377365,1792147,2022-2024,Daily,state,Influenza
wy,10.821875374168211,578759,2022-2024,Daily,state,Influenza
ak,11.05227441882528,731545,2022-2023,Daily,state,Influenza
al,19.766464657050676,4903185,2022-2023,Daily,state,Influenza
ar,18.020442149645376,3017804,2022-2023,Daily,state,Influenza
az,27.073866148348802,7278717,2022-2023,Daily,state,Influenza
ca,31.202759351609966,39512223,2022-2023,Daily,state,Influenza
co,12.203985768916647,5758736,2022-2023,Daily,state,Influenza
ct,16.61105729333955,3565287,2022-2023,Daily,state,Influenza
dc,12.84418135823051,705749,2022-2023,Daily,state,Influenza
de,18.96732842948765,973764,2022-2023,Daily,state,Influenza
fl,22.104356283697634,21477737,2022-2023,Daily,state,Influenza
ga,13.16571040142247,10617423,2022-2023,Daily,state,Influenza
hi,13.954860434870909,1415872,2022-2023,Daily,state,Influenza
ia,19.26870433596397,3155070,2022-2023,Daily,state,Influenza
id,15.956137044410301,1787065,2022-2023,Daily,state,Influenza
il,26.00181087012715,12671821,2022-2023,Daily,state,Influenza
in,24.089933630574812,6732219,2022-2023,Daily,state,Influenza
ks,21.022224982858027,2913314,2022-2023,Daily,state,Influenza
ky,24.304659903793567,4467673,2022-2023,Daily,state,Influenza
la,16.41933525884194,4648794,2022-2023,Daily,state,Influenza
ma,29.57882392898267,6892503,2022-2023,Daily,state,Influenza
md,20.242976554131364,6045680,2022-2023,Daily,state,Influenza
me,19.53185141089119,1344212,2022-2023,Daily,state,Influenza
mi,27.26270526473752,9986857,2022-2023,Daily,state,Influenza
mn,25.068942024329587,5639632,2022-2023,Daily,state,Influenza
mo,27.181556576085875,6137428,2022-2023,Daily,state,Influenza
ms,14.022410025386344,2976149,2022-2023,Daily,state,Influenza
mt,14.718857880274694,1068778,2022-2023,Daily,state,Influenza
nc,20.546373411185826,10488084,2022-2023,Daily,state,Influenza
nd,12.094963166277584,762062,2022-2023,Daily,state,Influenza
ne,12.808960976376005,1934408,2022-2023,Daily,state,Influenza
nh,18.56619829380819,1359711,2022-2023,Daily,state,Influenza
nj,26.022559829572756,8882190,2022-2023,Daily,state,Influenza
nm,17.85993602542597,2096829,2022-2023,Daily,state,Influenza
nv,20.14776244483929,3080156,2022-2023,Daily,state,Influenza
ny,32.04068289088534,19453561,2022-2023,Daily,state,Influenza
oh,27.414514582974714,11689100,2022-2023,Daily,state,Influenza
ok,30.385698161353837,3956971,2022-2023,Daily,state,Influenza
or,29.490449163841028,4217737,2022-2023,Daily,state,Influenza
pa,24.48086837752549,12801989,2022-2023,Daily,state,Influenza
ri,13.625494808257955,1059361,2022-2023,Daily,state,Influenza
sc,14.802204899711668,5148714,2022-2023,Daily,state,Influenza
sd,13.15879487478595,884659,2022-2023,Daily,state,Influenza
tn,20.083157683718177,6829174,2022-2023,Daily,state,Influenza
tx,28.698890200857264,28995881,2022-2023,Daily,state,Influenza
us,36.496468224126055,328239523,2022-2023,Daily,state,Influenza
ut,12.531463175098134,3205958,2022-2023,Daily,state,Influenza
va,19.548579786086005,8535519,2022-2023,Daily,state,Influenza
vt,12.253090307416581,623989,2022-2023,Daily,state,Influenza
wa,24.295965879432323,7614893,2022-2023,Daily,state,Influenza
wi,21.205177363323212,5822434,2022-2023,Daily,state,Influenza
wv,19.987190320125116,1792147,2022-2023,Daily,state,Influenza
wy,10.712028148230967,578759,2022-2023,Daily,state,Influenza
ak,10.213230699848308,731545,2023-2024,Daily,state,Influenza
al,16.715178408897234,4903185,2023-2024,Daily,state,Influenza
ar,13.436159813178804,3017804,2023-2024,Daily,state,Influenza
az,27.374205899577973,7278717,2023-2024,Daily,state,Influenza
ca,26.318124810822773,39512223,2023-2024,Daily,state,Influenza
co,12.468375167493695,5758736,2023-2024,Daily,state,Influenza
ct,12.986311147785901,3565287,2023-2024,Daily,state,Influenza
dc,10.325224695303536,705749,2023-2024,Daily,state,Influenza
de,10.8810820041483,973764,2023-2024,Daily,state,Influenza
fl,18.34723024547894,21477737,2023-2024,Daily,state,Influenza
ga,18.95630809071297,10617423,2023-2024,Daily,state,Influenza
hi,10.423259778083082,1415872,2023-2024,Daily,state,Influenza
ia,12.148042125421298,3155070,2023-2024,Daily,state,Influenza
id,13.314748734999682,1787065,2023-2024,Daily,state,Influenza
il,16.082579913958618,12671821,2023-2024,Daily,state,Influenza
in,17.564480487272462,6732219,2023-2024,Daily,state,Influenza
ks,15.529069078682111,2913314,2023-2024,Daily,state,Influenza
ky,15.4272317945078,4467673,2023-2024,Daily,state,Influenza
la,16.137601186488748,4648794,2023-2024,Daily,state,Influenza
ma,20.784168420622905,6892503,2023-2024,Daily,state,Influenza
md,20.476987357330735,6045680,2023-2024,Daily,state,Influenza
me,11.166130594061086,1344212,2023-2024,Daily,state,Influenza
mi,17.980320706420592,9986857,2023-2024,Daily,state,Influenza
mn,12.2945929403659,5639632,2023-2024,Daily,state,Influenza
mo,14.860345016917421,6137428,2023-2024,Daily,state,Influenza
ms,13.77273019235573,2976149,2023-2024,Daily,state,Influenza
mt,10.499964505609594,1068778,2023-2024,Daily,state,Influenza
nc,23.925314247828023,10488084,2023-2024,Daily,state,Influenza
nd,10.6326063726498,762062,2023-2024,Daily,state,Influenza
ne,10.634222434474527,1934408,2023-2024,Daily,state,Influenza
nh,11.212577579183403,1359711,2023-2024,Daily,state,Influenza
nj,22.34639232822524,8882190,2023-2024,Daily,state,Influenza
nm,14.437707859075688,2096829,2023-2024,Daily,state,Influenza
nv,15.001867534927072,3080156,2023-2024,Daily,state,Influenza
ny,20.75351096569289,19453561,2023-2024,Daily,state,Influenza
oh,19.094341352784227,11689100,2023-2024,Daily,state,Influenza
ok,17.731528334166256,3956971,2023-2024,Daily,state,Influenza
or,11.01561892201125,4217737,2023-2024,Daily,state,Influenza
pa,16.77554112834141,12801989,2023-2024,Daily,state,Influenza
ri,10.532230894951534,1059361,2023-2024,Daily,state,Influenza
sc,23.535087981535973,5148714,2023-2024,Daily,state,Influenza
sd,12.559955424051983,884659,2023-2024,Daily,state,Influenza
tn,16.69215198617825,6829174,2023-2024,Daily,state,Influenza
tx,23.269124923669537,28995881,2023-2024,Daily,state,Influenza
us,33.92262066585094,328239523,2023-2024,Daily,state,Influenza
ut,10.929318820127998,3205958,2023-2024,Daily,state,Influenza
va,21.00733189395312,8535519,2023-2024,Daily,state,Influenza
vt,10.442786672098837,623989,2023-2024,Daily,state,Influenza
wa,12.907707236614618,7614893,2023-2024,Daily,state,Influenza
wi,12.688246012071225,5822434,2023-2024,Daily,state,Influenza
wv,13.323851715401702,1792147,2023-2024,Daily,state,Influenza
wy,11.968785729340459,578759,2023-2024,Daily,state,Influenza
ak,8.911971941660756,731545,2022-2024,Weekly,state,Influenza
al,8.03312267114059,4903185,2022-2024,Weekly,state,Influenza
ar,8.211816845231656,3017804,2022-2024,Weekly,state,Influenza
az,14.871782897742204,7278717,2022-2024,Weekly,state,Influenza
ca,14.505970489602804,39512223,2022-2024,Weekly,state,Influenza
co,8.952881123523282,5758736,2022-2024,Weekly,state,Influenza
ct,8.920071354334258,3565287,2022-2024,Weekly,state,Influenza
dc,7.793160990392645,705749,2022-2024,Weekly,state,Influenza
de,8.373251660946291,973764,2022-2024,Weekly,state,Influenza
fl,11.1453635363715,21477737,2022-2024,Weekly,state,Influenza
ga,4.426627980315367,10617423,2022-2024,Weekly,state,Influenza
hi,10.138804527016953,1415872,2022-2024,Weekly,state,Influenza
ia,13.207863148823762,3155070,2022-2024,Weekly,state,Influenza
id,8.6104465476786185,1787065,2022-2024,Weekly,state,Influenza
il,13.031896865575144,12671821,2022-2024,Weekly,state,Influenza
in,13.954193630464196,6732219,2022-2024,Weekly,state,Influenza
ks,7.453554174249066,2913314,2022-2024,Weekly,state,Influenza
ky,10.550469463499157,4467673,2022-2024,Weekly,state,Influenza
la,9.879897834950825,4648794,2022-2024,Weekly,state,Influenza
ma,17.814824500720437,6892503,2022-2024,Weekly,state,Influenza
md,9.642477945437689,6045680,2022-2024,Weekly,state,Influenza
me,11.327315339872168,1344212,2022-2024,Weekly,state,Influenza
mi,15.922025830687003,9986857,2022-2024,Weekly,state,Influenza
mn,10.67378922251294,5639632,2022-2024,Weekly,state,Influenza
mo,10.534242926992999,6137428,2022-2024,Weekly,state,Influenza
ms,9.326942596325082,2976149,2022-2024,Weekly,state,Influenza
mt,9.290902831517943,1068778,2022-2024,Weekly,state,Influenza
nc,8.964248785867957,10488084,2022-2024,Weekly,state,Influenza
nd,8.677351473096074,762062,2022-2024,Weekly,state,Influenza
ne,9.93602909150706,1934408,2022-2024,Weekly,state,Influenza
nh,9.229509381983137,1359711,2022-2024,Weekly,state,Influenza
nj,10.886903569747242,8882190,2022-2024,Weekly,state,Influenza
nm,11.249191936826897,2096829,2022-2024,Weekly,state,Influenza
nv,8.74271789273836,3080156,2022-2024,Weekly,state,Influenza
ny,19.10258316513298,19453561,2022-2024,Weekly,state,Influenza
oh,13.684686997509687,11689100,2022-2024,Weekly,state,Influenza
ok,13.315139097595829,3956971,2022-2024,Weekly,state,Influenza
or,14.86141692440569,4217737,2022-2024,Weekly,state,Influenza
pa,9.603715456323469,12801989,2022-2024,Weekly,state,Influenza
ri,8.158440481319317,1059361,2022-2024,Weekly,state,Influenza
sc,8.904916438603793,5148714,2022-2024,Weekly,state,Influenza
sd,7.407907197427599,884659,2022-2024,Weekly,state,Influenza
tn,10.471075268514074,6829174,2022-2024,Weekly,state,Influenza
tx,17.55710246018086,28995881,2022-2024,Weekly,state,Influenza
us,15.341513830139142,328239523,2022-2024,Weekly,state,Influenza
ut,6.398213963721444,3205958,2022-2024,Weekly,state,Influenza
va,5.145579946496859,8535519,2022-2024,Weekly,state,Influenza
vt,7.693692022962761,623989,2022-2024,Weekly,state,Influenza
wa,9.898197647533147,7614893,2022-2024,Weekly,state,Influenza
wi,11.828948483644696,5822434,2022-2024,Weekly,state,Influenza
wv,7.45415401391103,1792147,2022-2024,Weekly,state,Influenza
wy,8.105381265799661,578759,2022-2024,Weekly,state,Influenza
ak,5.5380018155360755,731545,2022-2023,Weekly,state,Influenza
al,10.030883560843106,4903185,2022-2023,Weekly,state,Influenza
ar,5.441969543573921,3017804,2022-2023,Weekly,state,Influenza
az,13.391213184291306,7278717,2022-2023,Weekly,state,Influenza
ca,14.13959282569035,39512223,2022-2023,Weekly,state,Influenza
co,7.417064307185606,5758736,2022-2023,Weekly,state,Influenza
ct,10.129151156991888,3565287,2022-2023,Weekly,state,Influenza
dc,4.831675733851815,705749,2022-2023,Weekly,state,Influenza
de,10.486463610744334,973764,2022-2023,Weekly,state,Influenza
fl,8.220448591567875,21477737,2022-2023,Weekly,state,Influenza
ga,8.11817793357621,10617423,2022-2023,Weekly,state,Influenza
hi,13.089147329322259,1415872,2022-2023,Weekly,state,Influenza
ia,15.23500601704969,3155070,2022-2023,Weekly,state,Influenza
id,8.564292318844501,1787065,2022-2023,Weekly,state,Influenza
il,14.451213837169641,12671821,2022-2023,Weekly,state,Influenza
in,14.852703255877397,6732219,2022-2023,Weekly,state,Influenza
ks,8.95058317557732,2913314,2022-2023,Weekly,state,Influenza
ky,14.18484453983071,4467673,2022-2023,Weekly,state,Influenza
la,11.178323974562943,4648794,2022-2023,Weekly,state,Influenza
ma,23.37692572387996,6892503,2022-2023,Weekly,state,Influenza
md,12.58518971694228,6045680,2022-2023,Weekly,state,Influenza
me,13.310890529325937,1344212,2022-2023,Weekly,state,Influenza
mi,13.760082838652076,9986857,2022-2023,Weekly,state,Influenza
mn,13.190108221874041,5639632,2022-2023,Weekly,state,Influenza
mo,10.980059299270783,6137428,2022-2023,Weekly,state,Influenza
ms,10.257419623744369,2976149,2022-2023,Weekly,state,Influenza
mt,7.34811648574264,1068778,2022-2023,Weekly,state,Influenza
nc,8.427591549331837,10488084,2022-2023,Weekly,state,Influenza
nd,10.703264335677032,762062,2022-2023,Weekly,state,Influenza
ne,11.937624534302993,1934408,2022-2023,Weekly,state,Influenza
nh,12.813857066723145,1359711,2022-2023,Weekly,state,Influenza
nj,11.549725086119922,8882190,2022-2023,Weekly,state,Influenza
nm,11.846200802715256,2096829,2022-2023,Weekly,state,Influenza
nv,9.819228514456935,3080156,2022-2023,Weekly,state,Influenza
ny,26.27825981287719,19453561,2022-2023,Weekly,state,Influenza
oh,17.485961414588612,11689100,2022-2023,Weekly,state,Influenza
ok,14.56868450037232,3956971,2022-2023,Weekly,state,Influenza
or,19.141828260728598,4217737,2022-2023,Weekly,state,Influenza
pa,13.335327616997661,12801989,2022-2023,Weekly,state,Influenza
ri,8.293263561845244,1059361,2022-2023,Weekly,state,Influenza
sc,10.248888241631192,5148714,2022-2023,Weekly,state,Influenza
sd,13.211184169183221,884659,2022-2023,Weekly,state,Influenza
tn,9.606694331147224,6829174,2022-2023,Weekly,state,Influenza
tx,14.40479563184499,28995881,2022-2023,Weekly,state,Influenza
us,18.038562705411465,328239523,2022-2023,Weekly,state,Influenza
ut,3.1605759475675677,3205958,2022-2023,Weekly,state,Influenza
va,12.437453256884512,8535519,2022-2023,Weekly,state,Influenza
vt,8.666675600144746,623989,2022-2023,Weekly,state,Influenza
wa,11.633137867617972,7614893,2022-2023,Weekly,state,Influenza
wi,15.306611883201027,5822434,2022-2023,Weekly,state,Influenza
wv,9.640972985162598,1792147,2022-2023,Weekly,state,Influenza
wy,3.271198119579044,578759,2022-2023,Weekly,state,Influenza
ak,7.216463530646877,731545,2023-2024,Weekly,state,Influenza
al,8.933779723222479,4903185,2023-2024,Weekly,state,Influenza
ar,14.717772886222813,3017804,2023-2024,Weekly,state,Influenza
az,12.905636520823482,7278717,2023-2024,Weekly,state,Influenza
ca,10.207294911811903,39512223,2023-2024,Weekly,state,Influenza
co,10.8799109443545,5758736,2023-2024,Weekly,state,Influenza
ct,8.533941430445513,3565287,2023-2024,Weekly,state,Influenza
dc,5.147173951278228,705749,2023-2024,Weekly,state,Influenza
de,4.946681782655615,973764,2023-2024,Weekly,state,Influenza
fl,5.62454353965035,21477737,2023-2024,Weekly,state,Influenza
ga,4.144059436689195,10617423,2023-2024,Weekly,state,Influenza
hi,16.930236634606754,1415872,2023-2024,Weekly,state,Influenza
ia,8.636467715575712,3155070,2023-2024,Weekly,state,Influenza
id,7.31755560049463,1787065,2023-2024,Weekly,state,Influenza
il,10.32029558825187,12671821,2023-2024,Weekly,state,Influenza
in,16.414923946005455,6732219,2023-2024,Weekly,state,Influenza
ks,11.77484317880182,2913314,2023-2024,Weekly,state,Influenza
ky,8.170899230654094,4467673,2023-2024,Weekly,state,Influenza
la,8.56928141972768,4648794,2023-2024,Weekly,state,Influenza
ma,10.959435720704535,6892503,2023-2024,Weekly,state,Influenza
md,7.844262012698911,6045680,2023-2024,Weekly,state,Influenza
me,6.492782645507312,1344212,2023-2024,Weekly,state,Influenza
mi,10.074871224266646,9986857,2023-2024,Weekly,state,Influenza
mn,6.496092116500729,5639632,2023-2024,Weekly,state,Influenza
mo,9.582369371586264,6137428,2023-2024,Weekly,state,Influenza
ms,8.560243316359173,2976149,2023-2024,Weekly,state,Influenza
mt,9.023083304011148,1068778,2023-2024,Weekly,state,Influenza
nc,7.055298464878613,10488084,2023-2024,Weekly,state,Influenza
nd,6.632005556033227,762062,2023-2024,Weekly,state,Influenza
ne,8.455348915186367,1934408,2023-2024,Weekly,state,Influenza
nh,7.764441154671397,1359711,2023-2024,Weekly,state,Influenza
nj,8.535119509489208,8882190,2023-2024,Weekly,state,Influenza
nm,11.400881329810497,2096829,2023-2024,Weekly,state,Influenza
nv,10.21171746949211,3080156,2023-2024,Weekly,state,Influenza
ny,9.374756448588128,19453561,2023-2024,Weekly,state,Influenza
oh,15.564281796887713,11689100,2023-2024,Weekly,state,Influenza
ok,6.640172263920052,3956971,2023-2024,Weekly,state,Influenza
or,7.30040223374443,4217737,2023-2024,Weekly,state,Influenza
pa,4.57925282721151,12801989,2023-2024,Weekly,state,Influenza
ri,7.712167763401512,1059361,2023-2024,Weekly,state,Influenza
sc,8.813607784201128,5148714,2023-2024,Weekly,state,Influenza
sd,11.743269371299913,884659,2023-2024,Weekly,state,Influenza
tn,4.7941392611899225,6829174,2023-2024,Weekly,state,Influenza
tx,16.13740325964913,28995881,2023-2024,Weekly,state,Influenza
us,10.913262470383444,328239523,2023-2024,Weekly,state,Influenza
ut,8.37451829230048,3205958,2023-2024,Weekly,state,Influenza
va,2.893935064171571,8535519,2023-2024,Weekly,state,Influenza
vt,8.936255772507062,623989,2023-2024,Weekly,state,Influenza
wa,9.925514241911305,7614893,2023-2024,Weekly,state,Influenza
wi,6.32753153969281,5822434,2023-2024,Weekly,state,Influenza
wv,10.144634134469943,1792147,2023-2024,Weekly,state,Influenza
wy,5.497163411410777,578759,2023-2024,Weekly,state,Influenza
